"ID","Total_Count","OpCodes_List","min_depth","max_depth","frequency"
"Cnidaria.Hydrozoa.Trachymedusae",17,"NC2_CR6_5800, NC2_MA6_5700, NC2_OM5_5600, NC2_OM6_5900, NC3_OM1_5600, NC4_CR10_5000, NC4_MA11_5700, NC4_MA8_5500, NC4_OM7_5500","4980","5848",9
"Cnidaria.Hydrozoa.Trachymedusae.sp1",1,"NC4_OM10_5300","5272","5272",1
"Corallimorphidae",1,"NC1_CR2_6500","6480","6480",1
"Ctenophora.Tentaculata.Cydippida",2,"NC1_CR4_7100, NC3_OM8_2700","2771","7077",2
"Ctenophora.Tentaculata.Cydippida.sp1",1,"NC4_OM5_6900","6592","6592",1
"Ctenophora.Tentaculata.Cydippida.sp3",2,"NC1_CR8_7000","7022","7022",1
"Ctenophora.Tentaculata.Lobata",3,"NC3_MA7_3900, NC3_OM1_5600, NC4_OM10_5300","3864","5572",3
"Ctenophora.Tentaculata.Lobata.sp1",1,"NC3_MA9_3700","3711","3711",1
"Ctenophora.Tentaculata.sp1",1,"NC3_OM6_4600","4587","4587",1
"Cuninidae",5,"NC2_OM6_5900, NC3_CR3_5500, NC4_OM11_4500","4546","5848",3
"Cuninidae.sp1",1,"NC4_OM4_5400","5383","5383",1
"Echinodermata.Asteroidea",6,"NC1_CR3_6700, NC1_MA1_6100, NC1_OM2_6000, NC4_CR11_3900, NC4_CR3_4400","3892","6728",5
"Echinodermata.Asteroidea.Valvatida.Goniasteridae.sp2",1,"NC4_CR11_3900","3892","3892",1
"Echinodermata.Crinoidea",2,"NC2_CR8_4400","4397","4397",1
"Echinodermata.Crinoidea.sp2",2,"NC2_CR8_4400","4397","4397",1
"Echinodermata.Echinoidea.Echinothurioida",1,"NC4_OM7_5500","5609","5609",1
"Echinodermata.Holothuroidea",1,"NC4_OM5_6900","6592","6592",1
"Echinodermata.Holothuroidea.Persiculida",1,"NC4_MA3_4550","4549","4549",1
"Echinodermata.Holothuroidea.Persiculida.Hansenothuria.sp2",1,"NC3_OM5_5400","5367","5367",1
